,sim_step,depth
213,213,0.040388022114799596
214,214,0.04048853846048007
215,215,0.04058880520216989
216,216,0.040688824185636414
217,217,0.04078859723400253
218,218,0.0408881261481337
219,219,0.04098741270701657
220,220,0.04108645866812932
221,221,0.041185265767803986
222,222,0.04128383572158099
223,223,0.041382170224555995
224,224,0.04148027095171948
225,225,0.041578139558289005
226,226,0.04167577768003447
227,227,0.04177318693359651
228,228,0.04187036891679826
229,229,0.04196732520895062
230,230,0.04206405737115114
231,231,0.042160566946576696
232,232,0.042256855460770286
233,233,0.042352924421921824
234,234,0.0424487753211432
235,235,0.04254440963273791
236,236,0.042639828814465056
237,237,0.04273503430779819
238,238,0.04283002753817883
239,239,0.04292480991526504
240,240,0.04301938283317505
241,241,0.04311374767072601
242,242,0.0432079057916681
243,243,0.04330185854491406
